indexList,ID,Occ_CY,Occ_PY,Occ_Chg,ADR_CY,ADR_PY,ADR_Chg,RevPAR_CY,RevPAR_PY,RevPAR_Chg,Day,Month,Year,UOM,Date
261,Waikīkī ,0.847773291,0.85826393,-0.010490639,229.856938,224.6932494,0.022981058,194.87,192.85,0.010474462,1,8,2017,YTD,8/1/2017
262,Other O‘ahu ,0.769366194,0.75355694,0.015809253,264.9177243,233.9856776,0.132196325,203.82,176.32,0.155966425,1,8,2017,YTD,8/1/2017
263,O‘ahu Luxury,0.716517698,0.727080496,-0.010562799,487.7292918,458.8694203,0.062893429,349.47,333.64,0.047446349,1,8,2017,YTD,8/1/2017
264,O‘ahu Upper Upscale ,0.894087521,0.892141305,0.001946216,259.3874322,255.062905,0.016954748,231.92,227.55,0.01920457,1,8,2017,YTD,8/1/2017
265,O‘ahu Upscale,0.79144766,0.811162986,-0.019715326,195.0839928,193.0165081,0.01071144,154.4,156.57,-0.013859616,1,8,2017,YTD,8/1/2017
266,O‘ahu Upper Midscale,0.838629727,0.841855113,-0.003225385,153.8989188,147.8748258,0.040737786,129.06,124.49,0.036709776,1,8,2017,YTD,8/1/2017
267,O‘ahu Midscale & Economy,0.805416571,0.811701121,-0.00628455,135.217721,133.0514545,0.016281419,108.91,108,0.008425926,1,8,2017,YTD,8/1/2017
268,Maui County,0.782606057,0.767693683,0.014912373,357.6624861,331.1333328,0.080116227,279.91,254.21,0.101097518,1,8,2017,YTD,8/1/2017
269,Wailea,0.866347737,0.82293283,0.043414907,540.1847229,497.7287152,0.085299494,467.99,409.6,0.142553711,1,8,2017,YTD,8/1/2017
270,Lahaina - Kā‘anapali  - Kapalua,0.784508205,0.775409553,0.009098653,303.5650523,283.8661124,0.069395179,238.15,220.11,0.08195902,1,8,2017,YTD,8/1/2017
271,Other Maui County,0.780234216,0.758474211,0.021760005,425.4875511,388.8726414,0.094156559,331.98,294.95,0.125546703,1,8,2017,YTD,8/1/2017
272,Maui County Luxury,0.78066611,0.759135217,0.021530893,602.3052812,567.0928944,0.062092802,470.2,430.5,0.092218351,1,8,2017,YTD,8/1/2017
273,Maui County Upper Upscale & Upscale,0.793409316,0.774378216,0.0190311,283.0540121,259.2329079,0.091890742,224.58,200.74,0.118760586,1,8,2017,YTD,8/1/2017
274,Island of Hawai‘i,0.754404313,0.696265504,0.058138808,251.7492395,242.4697404,0.038270751,189.92,168.82,0.124985191,1,8,2017,YTD,8/1/2017
275,Kohala Coast,0.757485854,0.722371372,0.035114482,348.1838943,331.5956815,0.050025419,263.74,239.54,0.101026968,1,8,2017,YTD,8/1/2017
276,Kaua‘i,0.776202942,0.739865859,0.036337083,268.5675682,256.4660328,0.047185724,208.46,189.75,0.098603426,1,8,2017,YTD,8/1/2017
277,State of Hawai‘i,0.784362246,0.784534805,-0.000172559,231.2338877,235.1840813,-0.016796177,181.37,184.51,-0.017018048,30,9,2017,MTD,9/30/2017
278,Luxury Class,0.703839064,0.713169714,-0.009330651,426.3103293,416.3106008,0.024019875,300.05,296.9,0.010609633,30,9,2017,MTD,9/30/2017
279,Upper Upscale Class,0.845673321,0.846253431,-0.00058011,243.0824033,249.8838861,-0.027218573,205.57,211.47,-0.027899939,30,9,2017,MTD,9/30/2017
280,Upscale Class,0.729881839,0.740787315,-0.010905477,175.7273493,180.6511858,-0.027256043,128.26,133.82,-0.041548349,30,9,2017,MTD,9/30/2017
281,Upper Midscale Class,0.826022604,0.811041755,0.014980848,148.1293745,153.7625284,-0.036635414,122.36,124.71,-0.018843717,30,9,2017,MTD,9/30/2017
282,Midscale & Economy Class,0.764879128,0.747855701,0.017023427,141.3127824,148.3784224,-0.047619054,108.09,110.97,-0.02595296,30,9,2017,MTD,9/30/2017
283,O‘ahu ,0.839550335,0.855129772,-0.015579437,217.6369848,227.6443852,-0.043960673,182.72,194.67,-0.061385935,30,9,2017,MTD,9/30/2017
284,Waikīkī ,0.855966065,0.868953754,-0.012987689,215.4765467,227.9279125,-0.054628525,184.44,198.06,-0.06876704,30,9,2017,MTD,9/30/2017
285,Other O‘ahu ,0.745701088,0.77532567,-0.029624583,231.8146331,225.8099624,0.0265917,172.86,175.08,-0.012679918,30,9,2017,MTD,9/30/2017
286,O‘ahu Luxury,0.731840077,0.728158627,0.003681451,430.4998684,434.2906386,-0.008728648,315.06,316.23,-0.003699839,30,9,2017,MTD,9/30/2017
287,O‘ahu Upper Upscale ,0.905971465,0.911789925,-0.00581846,242.9057528,257.1654365,-0.055449457,220.07,234.48,-0.061455135,30,9,2017,MTD,9/30/2017
288,O‘ahu Upscale,0.761269251,0.823250736,-0.061981485,180.5313821,191.8630828,-0.059061392,137.43,157.95,-0.12991453,30,9,2017,MTD,9/30/2017
